127.0.0.1 - - [18/Aug/2017:17:57:19 -0700] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [18/Aug/2017:17:59:53 -0700] "POST /Fabflix/search HTTP/1.1" 200 5929
0:0:0:0:0:0:0:1 - - [18/Aug/2017:17:59:58 -0700] "GET /Fabflix/movielist?genre=Comedy HTTP/1.1" 200 11191
0:0:0:0:0:0:0:1 - - [18/Aug/2017:17:59:58 -0700] "GET /Fabflix/width=62 HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:00 -0700] "GET /Fabflix/tooltip?movieID=907002 HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:01 -0700] "GET /Fabflix/tooltip?movieID=764009 HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:03 -0700] "GET /Fabflix/tooltip?movieID=907004 HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:10 -0700] "GET /Fabflix/tooltip?movieID=259001 HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:18 -0700] "GET /Fabflix/movielist?genre=Comedy HTTP/1.1" 200 11192
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:18 -0700] "GET /Fabflix/width=62 HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:18 -0700] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:21 -0700] "GET /Fabflix/movielist?genre=Animation HTTP/1.1" 200 9578
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:23 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:23 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:24 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:24 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:24 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:24 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:25 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:25 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:25 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:25 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:26 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:26 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:26 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:26 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:27 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:27 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:28 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:28 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:28 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:28 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:29 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:29 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:31 -0700] "GET /Fabflix/tooltip?movieID=764005 HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:33 -0700] "GET /Fabflix/details?star=764005 HTTP/1.1" 200 2062
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:33 -0700] "GET /Fabflix/css/Details.css HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:35 -0700] "GET /Fabflix/details?movie=764005 HTTP/1.1" 200 3073
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:37 -0700] "GET /Fabflix/details?star=755008 HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:39 -0700] "GET /Fabflix/details?movie=764005 HTTP/1.1" 200 3073
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:40 -0700] "GET /Fabflix/details?star=156023 HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:41 -0700] "GET /Fabflix/details?movie=156006 HTTP/1.1" 200 2870
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:44 -0700] "GET /Fabflix/tooltip?movieID=156006 HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:44 -0700] "GET /Fabflix/tooltip?movieID=156006 HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:45 -0700] "GET /Fabflix/tooltip?movieID=156006 HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:51 -0700] "GET /Fabflix/movielist?genre=Adventure HTTP/1.1" 200 11752
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:51 -0700] "GET /Fabflix/uk.imdb.com/title/tt0112573/width=62 HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:55 -0700] "GET /Fabflix/movielist?movie=4 HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:00:59 -0700] "GET /Fabflix/servlet/TextSearch?datalisttext=t HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:00 -0700] "GET /Fabflix/servlet/TextSearch?datalisttext=ter HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:00 -0700] "GET /Fabflix/servlet/TextSearch?datalisttext=ter HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:00 -0700] "GET /Fabflix/servlet/TextSearch?datalisttext=te HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:00 -0700] "GET /Fabflix/servlet/TextSearch?datalisttext=t HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:01 -0700] "GET /Fabflix/servlet/TextSearch?datalisttext= HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:15 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:15 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:16 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:16 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:16 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:16 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:16 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:16 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:18 -0700] "GET /Fabflix/tooltip?movieID=907007 HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:18 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:19 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:19 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:19 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:19 -0700] "GET /Fabflix/tooltip?movieID=525014 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [18/Aug/2017:18:01:22 -0700] "POST /Fabflix/cart HTTP/1.1" 200 359
